lmin,lmax,const,const_err,log_t,log_t_err
-5.985648,-2.547290,1.014420,0.000063,-0.423520,0.000018
-6.276388,-4.203038,1.025655,0.000140,-0.420706,0.000028
-5.622226,-2.718476,1.019944,0.000066,-0.422261,0.000018
-5.365975,-4.269382,1.026133,0.000207,-0.420670,0.000044
-6.511565,-3.660054,1.031508,0.000133,-0.419638,0.000029
-6.457733,-2.790776,1.023322,0.000056,-0.421434,0.000015
-6.589001,-2.025965,1.001859,0.000041,-0.426639,0.000013
-4.949040,-3.019024,1.027425,0.000096,-0.420569,0.000026
-6.587313,-3.747251,1.028838,0.000150,-0.420202,0.000032
-6.225381,-4.012541,1.021584,0.000118,-0.421459,0.000025
-5.172634,-4.254319,1.023582,0.000261,-0.421223,0.000056
-6.092963,-3.668845,1.036537,0.000135,-0.418454,0.000030
-5.993305,-4.154354,1.027688,0.000143,-0.420219,0.000030
-5.891252,-3.307812,1.037258,0.000081,-0.418241,0.000020
-4.782360,-2.317405,1.000766,0.000058,-0.427585,0.000019
-5.264964,-4.258957,1.025071,0.000231,-0.420896,0.000049
-5.387883,-4.467216,1.038354,0.000216,-0.418210,0.000044
-6.846914,-2.721809,1.019529,0.000058,-0.422384,0.000015
-5.534446,-3.090789,1.031401,0.000078,-0.419579,0.000020
-5.767388,-3.303967,1.037604,0.000083,-0.418150,0.000020
-4.805027,-3.794280,1.038877,0.000358,-0.417715,0.000085
-4.573035,-4.278158,0.965405,0.000679,-0.434377,0.000154
-4.972551,-2.912752,1.024709,0.000083,-0.421241,0.000023
-4.910073,-2.898075,1.024329,0.000084,-0.421336,0.000023
-6.384542,-4.183451,1.023322,0.000141,-0.421193,0.000029
-6.052473,-3.880865,1.025703,0.000110,-0.420609,0.000024
-6.550099,-2.195181,1.005525,0.000047,-0.425690,0.000014
-5.187060,-2.573235,1.011520,0.000070,-0.424504,0.000020
-4.625317,-4.200611,0.982264,0.000383,-0.430589,0.000087
-6.037219,-4.267936,1.031136,0.000151,-0.419572,0.000031
-6.070397,-3.678105,1.036892,0.000137,-0.418374,0.000031
-6.672902,-3.948948,1.016057,0.000125,-0.422700,0.000026
-5.272770,-2.465063,1.008716,0.000063,-0.425194,0.000019
-4.569218,-3.803033,1.050332,0.000489,-0.414840,0.000118
-4.893234,-3.382936,1.040717,0.000147,-0.417350,0.000037
-6.290654,-2.923880,1.027157,0.000060,-0.420540,0.000015
-5.079993,-2.294459,1.002375,0.000055,-0.426977,0.000017
-6.630773,-2.652033,1.017950,0.000058,-0.422695,0.000016
-6.265875,-2.298145,1.007848,0.000052,-0.425116,0.000016
-6.536661,-2.940270,1.026406,0.000060,-0.420760,0.000015
-5.640506,-2.145886,1.002466,0.000047,-0.426678,0.000015
-6.386596,-3.963734,1.019864,0.000111,-0.421844,0.000023
-6.977505,-3.001885,1.024380,0.000072,-0.421357,0.000018
-5.951018,-3.343004,1.037177,0.000084,-0.418273,0.000020
-5.896592,-2.821142,1.024907,0.000062,-0.421026,0.000017
-5.814914,-2.920805,1.027805,0.000065,-0.420355,0.000017
-6.147858,-3.905471,1.023926,0.000107,-0.420982,0.000023
-4.621953,-4.239582,0.976346,0.000451,-0.431911,0.000102
-6.022651,-2.297953,1.007426,0.000053,-0.425257,0.000016
-6.135006,-2.527878,1.014088,0.000060,-0.423587,0.000017
